2018 SOC Code,Description
51-8090,Pressure controller
51-8090,Pressure dispatcher
51-8090,Pump system operator
51-8090,Pumper
51-8090,Recovery operator
51-8090,Refiner
51-8090,Refinery operator
51-8090,Refining equipment operator
51-8090,Regasification plant operator
51-8090,Rolley
51-8090,Rolling attendant
51-8090,Sand plant attendant
51-8090,Switchboard operator
51-8090,Tank terminal gauger
51-8090,Terminal gauger
51-8090,Tower operator
51-8090,Utility operator
51-8090,Wash operator
51-8090,Water gas operator
51-9010,Absorber operator
51-9010,Acetone recovery worker
51-9010,Acetylene plant operator
51-9010,Acid bleacher
51-9010,Acid cleaner
51-9010,Acid concentrator
51-9010,Acid condenser
51-9010,Acid extractor
51-9010,Acid maker
51-9010,Acid operator
51-9010,Acid patroller
51-9010,Acid plant operator
51-9010,Acid polymerization operator
51-9011,Acid purification equipment operator
51-9010,Acid purifier
51-9010,Acid recovery operator
51-9010,Acid regenerator
51-9010,Acid remover
51-9010,Acid retort operator
51-9010,Acid tender
51-9010,Acid treater
51-9010,Almond blancher operator
51-9010,Amalgamator
51-9010,Ammonia distiller
51-9010,Ammonia nitrate operator
51-9010,Ammonia still operator
51-9010,Apprentice brewer
51-9010,Assistant brewmaster
51-9010,Ball mill operator
51-9010,Barley steeper
51-9010,Batch still operator
51-9010,Bath mix operator
51-9010,Beer cooler
51-9010,Beer maker
51-9010,Beer runner
51-9010,Binder stripper machine
51-9010,Black pickler
51-9010,Bleacher lard
51-9010,Blow down operator
51-9010,Boiling tub operator
51-9010,Bolter
51-9010,Bone cooking operator
51-9010,Bottom precipitator operator
51-9010,Brewer
51-9010,Brewmaster
51-9010,Brine tank separator operator
51-9010,Burner operator
51-9010,Butadiene convertor operator
51-9010,Butter liquefier
51-9010,Butter maker
51-9010,C D reactor operator
51-9010,C D still operator
51-9010,C D stripper
51-9010,Caramel coloring operator
51-9010,Carbonation equipment operator
51-9010,Carbonation equipment tender
51-9010,Carbonator
51-9010,Carbonizer
51-9010,Cat cracker operator
51-9010,Catalyst operator\ ns
51-9010,Catalyst recovery operator
51-9010,Catalyst unit operator
51-9010,Catalytic converter operator
51-9010,Caustic liquor maker
51-9010,Caustic operator
51-9010,Caustic plant worker
51-9010,Caustic preparer
51-9010,Caustic purification operator
51-9010,Caustic room operator
51-9010,Causticiser
51-9010,Cell operator
51-9010,Cell tender
51-9010,Cellar worker
51-9010,Centrifugal drier operator
51-9010,Centrifugal machine tender
51-9010,Centrifugal operator
51-9010,Centrifugal station operator
51-9010,Centrifuge operator
51-9010,Centrifuge separator operator
51-9010,Centrifuge separator tender
51-9010,Chamber walker
51-9010,Chamber worker
51-9010,Char filter operator
51-9010,Char filter tank tender
51-9010,Chemical compounder
51-9010,Chemical operator
51-9011,Chemical process equipment operator
51-9010,Chemical process operator
51-9010,Chemical tank worker
51-9010,Chemical treatment operator
51-9010,Chemical unit operator
51-9010,Cherry pitter
51-9010,Chlorinator
51-9010,Chlorinator operator
51-9010,Chlorine cells operator
51-9010,Chlorine operator
51-9010,Cider maker
51-9010,Cider press operator
51-9010,Clarifier
51-9010,Classifier operator
51-9010,Clay plant treater
51-9010,Coagulating bath operator
51-9010,Coagulating operator
51-9010,Coal washer
51-9010,Cocoa bean cleaner
51-9010,Cocoa butter filter operator
51-9010,Cocoa press operator
51-9010,Condenser tube tender
51-9010,Cone runner
51-9010,Cone tender
51-9010,Control board operator
51-9010,Cracking still operator
51-9010,Cracking unit operator
51-9010,Cream ripener
51-9010,Cream separator operator
51-9010,Crude oil treater
51-9010,Crystallizer tender
51-9010,Curing bin operator
51-9010,Dairy processing equipment operator
51-9010,De alcholizer
51-9010,De ionizer operator
51-9010,Decker operator
51-9010,Dehydration plant operator
51-9010,Dehydration unit operator
51-9010,Dehydrator operator
51-9010,Dehydrogenation converter operator
51-9010,Dehydrogenation operator
51-9010,Deodorizer
51-9010,Deodorizer operator
51-9010,Desulphuring operator
51-9010,Desulphurizer operator
51-9010,Dethistler operator
51-9010,Devulcanizer loader
51-9010,Devulcanizer operator
51-9010,Devulcanizer tender
51-9010,Dewaterer operator
51-9010,Disintegrator operator
51-9010,Dissolver operator
51-9010,Distillation operator
51-9010,Distiller
51-9010,Distillery worker
51-9010,Dorr operator
51-9010,Drug department worker
51-9010,Dry starch operator
51-9010,Dust collector operator
51-9010,Egg breaking machine operator
51-9010,Electric cell tender
51-9010,Evaporator
51-9010,Evaporator operator
51-9010,Extracting machine operator
51-9010,Fat purification worker
51-9010,Feather separator
51-9010,Fermentation operator
51-9010,Fermenter
51-9010,Filter machine operator
51-9010,Filter operator
51-9010,Filter plant operator
51-9010,Filter press operator
51-9010,Filter tank operator
51-9010,Filter tank tender
51-9010,Filterer
51-9010,Filtration operator
51-9010,Finisher operator
51-9010,Flotation operator
51-9010,Flotation tank operator
51-9010,Flusher
51-9010,Fruit preserver
51-9010,Gasoline catalyst operator
51-9010,Generator operator
51-9010,Germination worker
51-9010,Glaze handler
51-9010,Gluten settling tender
51-9010,Glycerine plant operator
51-9010,Grain cleaner
51-9010,Grain processor
51-9010,Grape crusher
51-9010,Grease refiner operator
51-9010,Head still operator
51-9010,Hide puller
51-9010,Hollock maker
51-9010,Homogenizer operator
51-9010,Honey processor
51-9010,Hop strainer
51-9010,Hot wort settler
51-9010,Hydrate control tender
51-9010,Hydrochloric acid operator
51-9010,Hydrogen operator
51-9010,Hydrogenation still operator
51-9010,Ion exchange operator
51-9010,Irish moss operator
51-9010,Iron launder operator
51-9010,Kettle operator
51-9010,Kettle tender
51-9010,Lard bleacher
51-9010,Lard maker
51-9010,Lard refiner
51-9010,Leach cell operator
51-9010,Leach runner
51-9010,Leach tank tender
51-9010,Leacher
51-9010,Lead recoverer
51-9010,Linseed cake trimmer
51-9010,Linseed oil boiler
51-9010,Linseed oil refiner
51-9010,Linseed oil temperer
51-9010,Linter operator
51-9010,Liquor blender
51-9010,Liquor bridge operator
51-9010,Liquor gallery operator
51-9010,Liquor maker
51-9010,Liquor rectifier
51-9010,Lye bath operator
51-9010,Lye machine operator
51-9010,Lye peel operator
51-9010,Lye treater
51-9010,Malt house operator
51-9010,Maltster
51-9010,Maple sugar maker
51-9010,Maple syrup maker
51-9010,Mash filter operator
51-9010,Mash tub cooker
51-9010,Mash tub cooker operator
51-9010,Masher
51-9010,Master brewer
51-9010,Meal room hand
51-9010,Melter operator
51-9010,Mercury purifier
51-9010,Mercury washer
51-9010,Milk condenser
51-9010,Milk pasteurizer
51-9010,Milk processor
51-9010,Molasses coloring operator
51-9010,Molasses preparer
51-9010,Moonshiner
51-9010,Mud tank operator
51-9010,MVA operator
51-9010,MVA reactor operator
51-9010,MVA still operator
51-9010,Naphthalene operator
51-9010,Neutralizer
51-9010,Nitroglycerin separator operator
51-9010,Oil recovery unit operator
51-9010,Oil separator
51-9010,Oil treater
51-9010,Oliver filter operator
51-9010,Ore washer
51-9010,Oxidation operator
51-9010,Oxygen plant operator
51-9010,Pan operator
51-9010,Para machine operator
51-9010,Paradi operator
51-9010,Pasteurizer
51-9010,Pasteurizing machine operator
51-9010,Peanut blancher
51-9010,Percolator operator
51-9010,Pharmaceutical worker
51-9010,Pilot control operator
51-9010,Poacher operator
51-9010,Poly operator
51-9010,Poly plant operator
51-9010,Polymerization kettle operator
51-9010,Pond tender
51-9010,Precipitator
51-9010,Press puller
51-9010,Processor\ ns
51-9010,Purification operator
51-9010,Purifier
51-9010,Putter out
51-9010,Pyridine operator
51-9010,Pyridine recovery operator
51-9010,Raymond mill operator
51-9010,Reactor operator\ ns
51-9010,Refining machine operator
51-9010,Resin maker
51-9010,Retort operator
51-9010,Rice cleaning machine tender
51-9010,Riddler
51-9010,Riddler operator
51-9010,Riffler tender
51-9010,Ripening room hand
51-9010,Ripening room operator
51-9010,Rouge miller
51-9010,Rouge sifter
51-9010,Salt machine operator
51-9010,Salt maker
51-9010,Salt plant operator
51-9010,Salt refiner
51-9010,Saturator
51-9010,Saturator operator
51-9010,Screen operator
51-9010,Screen room operator
51-9010,Screen tender
51-9010,Screener
51-9010,Screener operator
51-9010,Seed cleaner
51-9010,Separating and filtering machine operator
51-9010,Separator operator
51-9010,Separator\ ns
51-9010,Shaker
51-9010,Shaker tender
51-9010,Sieve grader tender
51-9010,Sifting operator
51-9010,Silica filter operator
51-9010,Sludge mill operator
51-9010,Smutter
51-9010,Soda column operator
51-9010,Soda dialyzer
51-9010,Soda maker
51-9010,Sorting machine operator
51-9010,Spice cleaner
51-9010,Starchmaker
51-9010,Steep tender
51-9010,Stemmer
51-9010,Stemming machine operator
51-9010,Still operator
51-9010,Strainer tender
51-9010,Stripper machine
51-9010,Stripper\ ns
51-9010,Sublimer
51-9010,Sugar boiler
51-9010,Sweater operator
51-9010,Syrup maker
51-9010,Table runner
51-9010,Table tender
51-9010,Tallow maker
51-9010,Tallow refiner
51-9010,Tank pumper
51-9010,Tank tender
51-9010,Tapper
51-9010,Tar leveler
51-9010,Thickener operator
51-9010,Thiokol A operator
51-9010,Thresher\ ns
51-9010,Threshing machine operator
51-9010,Time cycle operator
51-9010,Tobacco stemmer
51-9010,Tobacco stripper
51-9010,Top precipitator operator
51-9010,Treater
51-9010,Tungsten tender
51-9010,Turpentine distiller
51-9010,Vacuum conditioner operator
51-9010,Vacuum filter operator
51-9010,Vacuum pan tender
51-9010,Vallez filter operator
51-9010,Vaporizer
51-9010,Varnish filterer
51-9010,Viscose cellar charge hand
51-9010,Viscose cellar worker
51-9010,Washer operator
51-9010,Washer\ ns
51-9010,Washtub worker
51-9010,Water filterer
51-9010,Water treatment plant operator
51-9010,Wax bleacher
51-9010,Wax pumper
51-9010,Wet mix operator
51-9010,Wet plant operator
51-9010,Wheelman
51-9010,White lead filterer
51-9010,Wine master
51-9010,Winemaker
51-9010,Winterizer
51-9010,Wringer operator
51-9010,Yeast distiller
51-9010,Yeast fermentation attendant
51-9010,Zinc chloride operator
51-9020,Abrasive grinder
51-9020,Abrasive mixer
51-9020,Acid adjuster
51-9020,Acid blower
51-9020,Acid mixer
51-9020,Air bag buffer
51-9020,Air chipper
51-9020,Alum operator
51-9020,Ammonia worker
51-9020,Apprentice miller
51-9020,Apprentice stone polisher machine
51-9020,Asphalt blender
51-9020,Asphalt mixer
51-9020,Asphalt mixing machine operator
51-9020,Auger mill operator
51-9020,Automatic pattern edger
51-9020,Ball truing machine operator
51-9020,Banbury machine operator
51-9020,Banbury mill operator
51-9020,Banbury mixer operator
51-9020,Banbury operator
51-9020,Bark grinder
51-9020,Barratte operator
51-9020,Barytes grinder
51-9020,Batch blender
51-9020,Batch maker
51-9020,Batch mixer
51-9020,Bath mixer
51-9020,Bed rubber
51-9020,Beveler
51-9020,Beveling and edging machine operator
51-9020,Beveling machine operator
51-9020,Billet sawyer
51-9020,Binman
51-9020,Bleach maker
51-9020,Bleach mixer
51-9020,Blender
51-9020,Blending line attendant
51-9020,Blending machine operator
51-9020,Blending tank tender
51-9020,Blunger
51-9020,Bone crusher
51-9020,Bone grinder
51-9020,Boss dyer
51-9020,Breaker machine operator
51-9020,Breaker tender
51-9020,Breaking machine operator
51-9020,Brine maker
51-9020,Brine mixer operator
51-9020,Brush sander
51-9020,Buffer automatic
51-9020,Buffer hand
51-9020,Buffer\ ns
51-9020,Buhr mill operator
51-9020,Bulk station operator
51-9020,C D mixer
51-9020,Calciner
51-9020,Carbide powder processor
51-9020,Carbon grinder
51-9020,Casing fluid tender
51-9020,Catalyst concentration operator
51-9020,Caustic mixer
51-9020,Cellophane bath mixer
51-9020,Cement mixer
51-9020,Chemical mixer
51-9020,Chemical preparer
51-9020,Chipper
51-9020,Chisel trimmer
51-9020,Cinder crusher operator
51-9020,Clay grinder
51-9020,Clay maker
51-9020,Clay miller
51-9020,Clay mixer
51-9020,Clay puddler
51-9020,Clay stain mixer
51-9020,Clay temperer
51-9020,Clay worker
51-9020,Coagulating bath mixer
51-9020,Coal crusher operator
51-9020,Coal mill operator
51-9020,Coal pulverizing operator
51-9020,Coating mixer
51-9020,Coating mixer tender
51-9020,Cocoa room operator
51-9020,Coffee grinder
51-9020,Coke crusher operator
51-9020,Color developer
51-9020,Color drum worker
51-9020,Color mixer
51-9020,Colorer\ ns
51-9020,Composition mixer
51-9020,Composition worker
51-9020,Compound finisher
51-9020,Compound mixer
51-9020,Compounder
51-9020,Concrete batcher
51-9020,Concrete mixer
51-9020,Concrete mixer operator
51-9020,Contour grinder
51-9020,Convex grinder
51-9020,Copra processor
51-9020,Corn grinder
51-9020,Corn husker
51-9020,Cosmetic maker
51-9020,Cracker
51-9020,Cream maker
51-9020,Crusher feeder
51-9020,Crusher operator
51-9020,Crusher plant operator
51-9020,Crusher setter
51-9020,Crusher tender
51-9020,Crushing machine operator
51-9020,Crutcher
51-9020,Crystal grinder
51-9020,Crystal lapper
51-9020,Cullet crusher
51-9020,Cullet washer
51-9020,Custom grinder
51-9020,Custom miller
51-9020,Deburring machine operator
51-9020,Deoiling machine operator
51-9020,Devil tender
51-9020,Dextrine mixer
51-9020,Diamond blender
51-9020,Diamond powder mixer
51-9020,Dip dyer
51-9020,Dope mixer
51-9020,Dross puller
51-9020,Dry color mixer
51-9020,Dry mixer
51-9020,Dry pan operator
51-9020,Dust mixer
51-9020,Dustless operator
51-9020,Dye maker
51-9020,Dye mixer
51-9020,Dye weigher
51-9020,Dyer\ ns
51-9020,Edger
51-9020,Edging machine setter
51-9020,Emulsion operator
51-9020,Equipment man
51-9020,Extract mixer
51-9020,Feather mixer
51-9020,Feed blender
51-9020,Feed crusher
51-9020,Feed crusher operator
51-9020,Feed grinder
51-9020,Feed mill operator
51-9020,Feed mill tender
51-9020,Feed mixer
51-9020,Fertilizer mixer
51-9020,Filer\ ns
51-9020,Finger grip machine operator
51-9020,Finishing area operator
51-9020,Finishing machine tender
51-9020,First crusher
51-9020,Flat surfacer
51-9020,Flavorer
51-9020,Fluorescent solution mixer
51-9020,Flux mixer
51-9020,Foamite mixer
51-9020,Frit burner
51-9020,Frit maker
51-9020,Frit mixer
51-9020,Frothing machine operator
51-9020,Fur dyer
51-9020,Gasoline finisher
51-9020,Glass beveler
51-9020,Glass edger
51-9020,Glass finisher
51-9020,Glass grinder
51-9020,Glass polisher
51-9020,Glass sander
51-9020,Glass smoother
51-9020,Glaze grinder
51-9020,Glaze maker
51-9020,Glaze mixer
51-9020,Glue mixer
51-9020,Gold reclaimer
51-9020,Grain mixer
51-9020,Granite polisher
51-9020,Granulator
51-9020,Graphite grinder
51-9020,Grease buffer
51-9020,Grease maker\ ns
51-9020,Greenstone polisher operator
51-9020,Grinder chipper
51-9020,Grinder mill operator
51-9020,Grinder operator
51-9020,Grinder tender
51-9020,Grinder\ ns
51-9020,Gristmill operator
51-9020,Gristmiller
51-9020,Grit blaster
51-9020,Gritter
51-9020,Gritting machine operator
51-9020,Ground mixer
51-9020,Gum mixer
51-9020,Gum rolling machine operator
51-9020,Gun barrel finisher
51-9020,Gunite mixer
51-9020,Gunite nozzle operator
51-9020,Hair mixer
51-9020,Hammer mill operator
51-9020,Hand buffer
51-9020,Hand grinder
51-9020,Hand sander
51-9020,Head grinder
51-9020,Head miller
51-9020,Hide dyer
51-9020,Hide or skin buffer
51-9020,Hog tender
51-9020,Hot mix operator
51-9020,Hull grinder
51-9020,Huller
51-9020,Huller operator
51-9020,Husker operator
51-9020,Hydration plant operator
51-9020,Hydrator
51-9020,Hydrator operator
51-9020,Hydropulper
51-9020,Hydropulper operator
51-9021,Industrial coffee grinder
51-9020,Ink blender
51-9020,Ink grinder
51-9020,Ink maker
51-9020,Insecticide maker
51-9020,Insecticide mixer
51-9020,Ivory polisher
51-9020,Jet dyeing machine operator
51-9020,Jewel grinder
51-9022,Jewelry polisher
51-9022,Knife grinder
51-9020,Laboratory miller
51-9020,Leguillon debeader
51-9020,Lens cleaner
51-9020,Lens grinding machine operator
51-9020,Level vial grinder
51-9020,Lime mixer
51-9020,Lime mixer tender
51-9020,Lime plant operator
51-9020,Lime slaker
51-9020,Lime sludge mixer
51-9020,Liquor grinder mill operator
51-9020,Macerator operator
51-9020,Make up operator
51-9021,Marble and granite polisher
51-9020,Marble machine operator
51-9020,Marble polisher
51-9020,Marble rubber
51-9020,Master dyer
51-9020,Meal grinder tender
51-9020,Meal miller
51-9020,Meat grinder
51-9020,Merchant miller
51-9020,Metal mixer
51-9020,Metal mold dresser
51-9020,Metal sander
51-9020,Milk powder grinder
51-9020,Mill attendant
51-9020,Mill operator
51-9020,Miller exc repair
51-9020,Miller\ ns
51-9020,Mirror finishing machine operator
51-9020,Mirror polisher
51-9020,Miter grinder operator
51-9020,Mix crusher operator
51-9020,Mix house tender
51-9020,Mixer and blender
51-9020,Mixer lever operator
51-9020,Mixer operator
51-9020,Mixer runner
51-9020,Mixer tender
51-9020,Mixer\ ns
51-9020,Mixing house operator
51-9020,Mixing machine feeder
51-9020,Mixing machine operator
51-9020,Mixing plant operator
51-9020,Mixing roll operator
51-9020,Mixing tank operator
51-9020,Mixing tumbler operator
51-9020,Mold chipper
51-9020,Mold dresser
51-9020,Mold polisher
51-9020,Mortar mixer
51-9020,Mortar mixer operator
51-9020,Mottler operator
51-9020,Mud cleaner operator
51-9020,Mud mill tender
51-9020,Mud mixer
51-9020,Mud plant operator
